high|T-3|,low|T-3|,close|T-3|,high|T-2|,low|T-2|,close|T-2|,high|T-1|,low|T-1|,close|T-1|,high,low,close
116282.5625,104769.4375,115131.25,116272.2908,104760.18280000001,115121.08,116220.65960000001,104713.66360000001,115069.96,118375.232,106654.912,117203.2
116272.2908,104760.18280000001,115121.08,116220.65960000001,104713.66360000001,115069.96,118375.232,106654.912,117203.2,117699.3198,106045.9218,116533.98
116220.65960000001,104713.66360000001,115069.96,118375.232,106654.912,117203.2,117699.3198,106045.9218,116533.98,116801.7934,105237.2594,115645.34
118375.232,106654.912,117203.2,117699.3198,106045.9218,116533.98,116801.7934,105237.2594,115645.34,119758.831,107901.52100000001,118573.1
117699.3198,106045.9218,116533.98,116801.7934,105237.2594,115645.34,119758.831,107901.52100000001,118573.1,118958.3858,107180.3278,117780.58
116801.7934,105237.2594,115645.34,119758.831,107901.52100000001,118573.1,118958.3858,107180.3278,117780.58,117757.617,106098.447,116591.7
119758.831,107901.52100000001,118573.1,118958.3858,107180.3278,117780.58,117757.617,106098.447,116591.7,117828.5594,106162.36540000001,116661.94
118958.3858,107180.3278,117780.58,117757.617,106098.447,116591.7,117828.5594,106162.36540000001,116661.94,117326.6197,105710.1227,116164.97
117757.617,106098.447,116591.7,117828.5594,106162.36540000001,116661.94,117326.6197,105710.1227,116164.97,117105.46,105510.86,115946.0
117828.5594,106162.36540000001,116661.94,117326.6197,105710.1227,116164.97,117105.46,105510.86,115946.0,116658.4542,105108.1122,115503.42
117326.6197,105710.1227,116164.97,117105.46,105510.86,115946.0,116658.4542,105108.1122,115503.42,118498.5328,106766.00480000001,117325.28
117105.46,105510.86,115946.0,116658.4542,105108.1122,115503.42,118498.5328,106766.00480000001,117325.28,118808.724,107045.484,117632.4
116658.4542,105108.1122,115503.42,118498.5328,106766.00480000001,117325.28,118808.724,107045.484,117632.4,117578.49350000001,105937.05850000001,116414.35
118498.5328,106766.00480000001,117325.28,118808.724,107045.484,117632.4,117578.49350000001,105937.05850000001,116414.35,117871.25210000001,106200.83110000001,116704.21
118808.724,107045.484,117632.4,117578.49350000001,105937.05850000001,116414.35,117871.25210000001,106200.83110000001,116704.21,119663.083,107815.25300000001,118478.3
117578.49350000001,105937.05850000001,116414.35,117871.25210000001,106200.83110000001,116704.21,119663.083,107815.25300000001,118478.3,120050.2463,108164.08330000001,118861.63
117871.25210000001,106200.83110000001,116704.21,119663.083,107815.25300000001,118478.3,120050.2463,108164.08330000001,118861.63,118196.3004,106493.6964,117026.04
119663.083,107815.25300000001,118478.3,120050.2463,108164.08330000001,118861.63,118196.3004,106493.6964,117026.04,119575.2736,107736.1376,118391.36
120050.2463,108164.08330000001,118861.63,118196.3004,106493.6964,117026.04,119575.2736,107736.1376,118391.36,120722.9063,108770.14330000001,119527.63
118196.3004,106493.6964,117026.04,119575.2736,107736.1376,118391.36,120722.9063,108770.14330000001,119527.63,119560.1236,107722.48760000001,118376.36
119575.2736,107736.1376,118391.36,120722.9063,108770.14330000001,119527.63,119560.1236,107722.48760000001,118376.36,115626.6584,104178.4744,114481.84
120722.9063,108770.14330000001,119527.63,119560.1236,107722.48760000001,118376.36,115626.6584,104178.4744,114481.84,117643.7698,105995.8718,116478.98
